date,reservoir_id,water_spread_area_km2,storage_volume_m3,volume_mcm,provenance
2026-03-09T13:46:57.459999,res-chembarambakkam,21.99,54975000.0,54.975,bathymetry_boundary_estimate
2026-03-09T13:47:26.210412,res-chembarambakkam,18.65,46625000.0,46.625,bathymetry_boundary_estimate
2026-03-09T14:44:08.274342,res-chembarambakkam,22.12,55300000.0,55.3,bathymetry_boundary_estimate
2026-03-09T14:44:43.007999,res-poondi,12.21,30525000.0,30.525,bathymetry_boundary_estimate
2026-03-10T06:58:00.847292,res-chembarambakkam,17.59,43975000.0,43.975,bathymetry_boundary_estimate
2026-03-10T06:58:16.602551,res-chembarambakkam,11.26,28150000.0,28.15,bathymetry_boundary_estimate
2026-03-10T06:58:24.574740,res-chembarambakkam,21.13,52825000.0,52.825,bathymetry_boundary_estimate
2026-03-10T07:27:14.524550,res-chembarambakkam,18.68,46700000.0,46.7,bathymetry_boundary_estimate
2026-03-10T07:27:24.829567,res-chembarambakkam,16.85,42125000.0,42.125,bathymetry_boundary_estimate
2026-03-10T07:31:28.298670,res-chembarambakkam,18.69,46725000.0,46.725,bathymetry_boundary_estimate
2026-03-10T07:32:09.136368,res-chembarambakkam,13.22,33050000.0,33.05,bathymetry_boundary_estimate
2026-03-10T07:33:18.702537,res-veeranam,7.44,18600000.0,18.6,bathymetry_boundary_estimate
2026-03-10T07:33:26.904703,res-chembarambakkam,15.86,39650000.0,39.65,bathymetry_boundary_estimate
2026-03-10T07:37:38.650370,res-chembarambakkam,17.89,44725000.0,44.725,bathymetry_boundary_estimate
2026-03-10T07:44:01.557646,res-chembarambakkam,17.97,44925000.0,44.925,bathymetry_boundary_estimate
2026-03-10T07:59:17.723472,res-chembarambakkam,20.02,50050000.0,50.05,bathymetry_boundary_estimate
2026-03-11T08:40:02.770597,res-chembarambakkam,20.23,50575000.0,50.575,bathymetry_boundary_estimate
2026-03-11T08:41:29.273106,res-cholavaram,5.94,14850000.0,14.85,bathymetry_boundary_estimate
2026-03-11T08:41:35.890040,res-poondi,14.08,35200000.0,35.2,bathymetry_boundary_estimate
2026-03-11T08:41:42.139545,res-redhills,19.73,49325000.0,49.325,bathymetry_boundary_estimate
2026-03-11T08:41:47.016277,res-kaveripakkam,6.48,16200000.0,16.2,bathymetry_boundary_estimate
